params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
252336560693540533935881068298825202077_0,BPI2012_C,0.0,3.0,96.4,1.0,0.7690665532145055,0.5808884924426302,0.26484087069605877,0.9802027649759297,0.9650369280056358,0.9530631186050996,0.9292984057478687,0.8534470729411471,0.7640007678332671,0.6705163594827324,3.3761921024480055e-05,2.1036806579795666,158.75656989900745,139.66817021339665,235.47442963900977,0.07296138840611092,45.582567614590516,1417.698082031397,0.0,4045.5583673469387
252336560693540533935881068298825202077_1,BPI2012_C,0.0,5.0,96.4,1.0,0.5226117217225452,0.4950415335313184,0.4311269828994382,0.9382554434720856,0.8888541280506084,0.8376155009326325,0.7493350478259548,0.6008797251038026,0.5150476169110705,0.47273097723638485,3.3761921024480055e-05,2.1036806579795666,158.75656989900745,137.97805540560512,150.40396460780175,0.06863353440421634,39.86359918959788,3258.9657269463933,0.0,4045.5583673469387
252336560693540533935881068298825202077_2,BPI2012_C,0.0,7.0,96.4,1.0,0.6259096155098286,0.5652506806729242,0.45682287092994195,0.9555640131703503,0.9053862155771096,0.8630571007919607,0.7783933298508439,0.6295530310191286,0.54282218000611,0.4992287754466185,3.3761921024480055e-05,2.1036806579795666,158.75656989900745,144.08553016560617,169.73494359839825,0.07162633259431458,40.80274206580361,4958.692847914999,0.0,4045.5583673469387
252336560693540533935881068298825202077_3,BPI2012_C,0.0,11.0,96.4,1.0,0.6515184793093141,0.588218039453438,0.48030691670353,0.9612560935473157,0.9207615092365897,0.880709216048799,0.8075636195854458,0.6689987657336097,0.5827406545442975,0.5339225742837479,3.3761921024480055e-05,2.1036806579795666,158.75656989900745,154.63836799620768,169.45115156600951,0.07409127179998905,43.18453779879492,6777.1780197127955,0.0,4045.5583673469387
252336560693540533935881068298825202077_4,BPI2012_C,0.0,17.0,96.4,1.0,0.6886189172526518,0.5674014769440173,0.483825567980219,0.9622014035625714,0.9247604770242226,0.8838486570271197,0.8108867389208253,0.6786370967567551,0.5902319621082969,0.538679812055164,3.3761921024480055e-05,2.1036806579795666,158.75656989900745,155.2770732328063,169.07356263039983,0.07437912159366533,43.53067365879542,8618.424893980793,0.0,4045.5583673469387
252336560693540533935881068298825202077_5,BPI2012_C,0.0,21.0,96.4,1.0,0.6697468444947668,0.5735365138984925,0.4766131348934642,0.9593153424424209,0.9196789201343389,0.8780284830792408,0.8025632845834544,0.6646861554079735,0.5752494790237823,0.5276900941133189,3.3761921024480055e-05,2.1036806579795666,158.75656989900745,156.59720908700257,165.77126790099427,0.07146159180556425,41.458831129607276,10437.652932280995,0.0,4045.5583673469387
47482295457342411543800303662309855831_0,BPI2012_C,0.025,3.0,32.4,3.0,0.7677089925097139,0.5836369723179775,0.23552192690611046,0.9816140044669434,0.9692266444540948,0.9609156423789897,0.9464461822074144,0.8971401366606923,0.8386861085071148,0.7769542084678225,3.3761921024480055e-05,2.1348533350101206,220.30694202700397,127.51901824560483,256.83114689280046,0.0744160167989321,49.06923293100554,1518.437030299811,0.0,10026.92787878788
47482295457342411543800303662309855831_1,BPI2012_C,0.025,5.0,32.4,3.0,0.5143633699483379,0.4807574100840011,0.41926768811852966,0.9360077507413795,0.8851644370766975,0.833829440082957,0.7451169999744883,0.5954804375669018,0.507192412925419,0.46312900143498836,3.3761921024480055e-05,2.1348533350101206,220.30694202700397,126.00017808200792,133.40260339140076,0.07256244160234929,38.846788534196094,3285.892136403802,0.0,10026.92787878788
47482295457342411543800303662309855831_2,BPI2012_C,0.025,7.0,32.4,3.0,0.6054551253257602,0.5536353465512652,0.45422412081849756,0.9514759143866955,0.8995672962197568,0.8548440173839028,0.767652864947618,0.6155436779824253,0.5338583430369328,0.49377549490483813,3.3761921024480055e-05,2.1348533350101206,220.30694202700397,126.27247555900249,135.12396520959447,0.07454517159494571,39.76599017640692,4789.241850346402,0.0,10026.92787878788
47482295457342411543800303662309855831_3,BPI2012_C,0.025,11.0,32.4,3.0,0.6563268450244889,0.5871881857232208,0.47969103292272963,0.9604622608873644,0.9187786473767028,0.87831850124379,0.8009074796517274,0.6559652205069694,0.5697976344173281,0.5243342032008064,3.3761921024480055e-05,2.1348533350101206,220.30694202700397,127.35538580519497,130.8483998996031,0.07028321119723842,39.99259070020052,6286.609361690609,0.0,10026.92787878788
