params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
252336560693540533935881068298825202077_eps0_s0,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.45475233143673216,0.4165202134421624,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.57105377689004,115.92671881057322,0.20245091505348678,28.06969047486782,1739.1285686630756,0.0,232645.8
252336560693540533935881068298825202077_eps0_s1,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.65837554037572,1100.5569809116423,0.20012720935046668,43.67759937606752,6010.455415522307,0.0,232645.8
252336560693540533935881068298825202077_eps0_s10,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,123.20013330727815,1127.321277732402,0.20206169709563251,41.278020261600616,63157.840561792626,0.0,232645.8
252336560693540533935881068298825202077_eps0_s2,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.16883880235255,1101.97463423647,0.2037932183593511,43.81889468953013,12338.265846079215,0.0,232645.8
252336560693540533935881068298825202077_eps0_s3,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.07348771765828,1102.108159916103,0.20212164409458633,43.93915673196316,18678.25006379895,0.0,232645.8
252336560693540533935881068298825202077_eps0_s4,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.72597544752061,1109.224511603266,0.2009043481200933,42.96978775672615,25038.34524942599,0.0,232645.8
252336560693540533935881068298825202077_eps0_s5,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.8643198184669,1108.556227588281,0.20303207077085972,41.02401932142675,31382.351330386475,0.0,232645.8
252336560693540533935881068298825202077_eps0_s6,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.41903442591429,1098.7865467563272,0.2135299306362867,40.70158413797617,37697.538865756615,0.0,232645.8
252336560693540533935881068298825202077_eps0_s7,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.28336286582052,1102.6634698219598,0.20120890699326988,41.27180605344474,43991.6705254063,0.0,232645.8
252336560693540533935881068298825202077_eps0_s8,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.61270732134581,1119.0454986859113,0.2018628392368555,41.45566341429949,50323.31195777804,0.0,232645.8
252336560693540533935881068298825202077_eps0_s9,BPI2012_C,1.0,3.0,42.0,12.0,1.0,97.4,0.7624006623067557,0.5843796058071027,0.1889185800740062,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.725327231735,1107.9944243196398,0.20168174430727953,41.30374956652522,56728.54637245871,0.0,232645.8
252336560693540533935881068298825202077_eps1_s0,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.45339162323555204,0.41410671968404317,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.11883317865431,123.68462427705526,0.19721772186458106,29.715793097019194,66600.30072711743,0.0,232645.8
252336560693540533935881068298825202077_eps1_s1,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.7025676681326514,0.5330327684299214,0.298109005962238,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,126.62658763490617,704.6074351787568,0.19525061696767806,36.276265781745316,69697.16892001666,0.0,232645.8
252336560693540533935881068298825202077_eps1_s10,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.49540375225046046,0.4441039402773561,0.38328908596184413,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.55791650861502,121.05733201727271,0.1957148097455501,29.48366884328425,83201.92558396496,0.0,232645.8
252336560693540533935881068298825202077_eps1_s2,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5366397031558833,0.4780545755768487,0.4002074981121414,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.64752397648991,142.26681735776364,0.19335435219109054,29.793821987509727,72364.0035432972,0.0,232645.8
252336560693540533935881068298825202077_eps1_s3,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5173840648812648,0.4641850043087798,0.41452055622615047,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.52361499629914,126.2678404983133,0.20035334378480907,29.389513920992613,73747.38257199712,0.0,232645.8
252336560693540533935881068298825202077_eps1_s4,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5169114886193806,0.46358749852462366,0.41423512926002914,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.85911305658519,120.80486745759845,0.19611564837396142,29.516104271262883,75124.15363790802,0.0,232645.8
252336560693540533935881068298825202077_eps1_s5,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5167557877111882,0.4636491045690584,0.41423258954177167,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.0904473748058,124.04661799035966,0.19658374711871143,29.545457581058145,76489.59247158133,0.0,232645.8
252336560693540533935881068298825202077_eps1_s6,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5158871817480868,0.4627470304854449,0.4120466506817245,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,124.3043039560318,124.57231718152761,0.1944090370088815,29.432025764137506,77864.30188376308,0.0,232645.8
252336560693540533935881068298825202077_eps1_s7,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5148020744605984,0.4619766680264751,0.41001797736660706,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.78018562495708,116.68980688489974,0.1965507138520479,29.699603343382478,79198.58365206308,0.0,232645.8
252336560693540533935881068298825202077_eps1_s8,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5148634870005822,0.4619952360371258,0.4100383626326051,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.05115898549556,120.15600360743701,0.19931903705000875,29.497065825387836,80538.66122374572,0.0,232645.8
252336560693540533935881068298825202077_eps1_s9,BPI2012_C,1.0,5.0,42.0,12.0,1.0,97.4,0.5147117441940713,0.4617234403173377,0.4096269304169102,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.50898849666119,115.71512694470584,0.19769517704844472,29.581584656238554,81872.02230512389,0.0,232645.8
252336560693540533935881068298825202077_eps2_s0,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.45343545414937053,0.4132475374181867,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,124.96519722342491,124.55209435746073,0.19865789823234076,30.345648770406843,84577.62683254629,0.0,232645.8
252336560693540533935881068298825202077_eps2_s1,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.7262756128440462,0.5698382874324537,0.3076947456740177,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,122.7948271740228,787.9439360417425,0.20360328070819372,37.12210341729224,87913.78880818412,0.0,232645.8
252336560693540533935881068298825202077_eps2_s10,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5331058895161866,0.477839638087343,0.36835039591067814,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,119.75494333207607,121.78743061944843,0.19737414978444573,30.213673875108363,101288.4979214929,0.0,232645.8
252336560693540533935881068298825202077_eps2_s2,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5592134479972991,0.5230837687338048,0.4319655639875865,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.81890611611307,122.00806659124791,0.19521688446402544,30.123814845830204,90691.5160200715,0.0,232645.8
252336560693540533935881068298825202077_eps2_s3,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.556202905116856,0.5203735275663226,0.43042349015271153,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,118.21588636897505,114.21488531939686,0.19691681936383243,30.273468603938817,92017.03297329135,0.0,232645.8
